en_original;bg_original;cs_original;da_original;de_original;el_original;es_original;et_original;fi_original;fr_original;hr_original;hu_original;it_original;lt_original;lv_original;mt_original;nl_original;pl_original;pt_original;ro_original;sk_original;sl_original;sv_original;no_original;is_original
Evidence exists for biodegradation processes.;Съществуват доказателства за процеси на биоразграждане.;Existují důkazy o procesech biodegradace.;Der findes beviser for bionedbrydningsprocesser.;Es gibt Hinweise auf Abbauprozesse.;Υπάρχουν αποδείξεις για διαδικασίες βιοαποικοδόμησης.;Existen pruebas de procesos de biodegradación.;Tõendid olemas biodegradatsiooni protsesside kohta.;On näyttöä biologisista hajoamisprosesseista.;Des preuves existent pour les processus de biodégradation.;Postoje dokazi za procese biorazgradnje.;Bizonyíték van a biodegradációs folyamatokra.;Esistono prove per i processi di biodegradazione.;Yra įrodymų apie biodegradacijos procesus.;Ir pierādījumi par biodegradācijas procesiem.;Jeżisti evidenza għal proċessi ta' bijodegradazzjoni.;Er is bewijs voor biodegradatieprocessen.;Istnieją dowody na procesy biodegradacji.;Existem evidências de processos de biodegradação.;Există dovezi pentru procesele de biodegradare.;Existujú dôkazy o procesoch biodegradácie.;Obstajajo dokazi za procese biorazgradnje.;Det finns bevis för nedbrytningsprocesser.;Det finnes bevis for biologiske nedbrytningsprosesser.;Sönnunargögn eru til fyrir niðurbrotsferlum.
Part of the components is poorly eliminable from water.;Част от компонентите са слабо елиминируеми от водата.;Část složek je špatně eliminovatelná z vody.;En del af komponenterne er dårligt eliminérbare fra vand.;Ein Teil der Komponenten ist schwer aus Wasser eliminierbar.;Μέρος των συστατικών είναι δύσκολα απομακρυνόμενο από το νερό.;Parte de los componentes es poco eliminable del agua.;Osa komponentidest on veest halvasti eemaldatavad.;Osa komponenteista on huonosti poistettavissa vedestä.;Une partie des composants est peu éliminable de l'eau.;Dio komponenti je slabo eliminiran iz vode.;A komponensek egy része nehezen távolítható el a vízből.;Parte dei componenti è scarsamente eliminabile dall'acqua.;Dalis komponentų yra sunkiai pašalinama iš vandens.;Daļa komponentu ir slikti izvadāma no ūdens.;Parti mill-komponenti hija eliminabbli b'mod fqir mill-ilma.;Een deel van de componenten is slecht uit water te verwijderen.;Część składników jest słabo usuwalna z wody.;Parte dos componentes é pouco eliminável da água.;O parte din componente este slab eliminabilă din apă.;Časť zložiek je z vody ťažko odstrániteľná.;Del komponent je slabo odstranljiv iz vode.;En del av komponenterna är svårnedbrytbara från vatten.;En del av komponentene er dårlig eliminerbare fra vann.;Hluti íhlutanna er illa fjarlægjanlegur úr vatni.
The product is unstable in water. The information on elimination also refers to the hydrolysis products.;Продуктът е нестабилен във вода. Информацията за елиминиране се отнася и за продуктите от хидролиза.;Produkt je nestabilní ve vodě. Informace o eliminaci se také vztahují na produkty hydrolýzy.;Produktet er ustabilt i vand. Oplysningerne om eliminering refererer også til hydrolyseprodukterne.;Das Produkt ist in Wasser instabil. Die Informationen zur Eliminierung beziehen sich auch auf die Hydrolyseprodukte.;Το προϊόν είναι ασταθές στο νερό. Οι πληροφορίες για την απομάκρυνση αναφέρονται επίσης στα προϊόντα υδρόλυσης.;El producto es inestable en agua. La información sobre la eliminación también se refiere a los productos de hidrólisis.;Toode on vees ebastabiilne. Teave elimineerimise kohta viitab ka hüdrolüüsi produktidele.;Tuote on epävakaa vedessä. Tiedot poistamisesta koskevat myös hydrolyysituotteita.;Le produit est instable dans l'eau. Les informations sur l'élimination se réfèrent également aux produits d'hydrolyse.;Proizvod je nestabilan u vodi. Informacije o eliminaciji također se odnose na proizvode hidrolize.;A termék instabil vízben. Az eliminációra vonatkozó információk a hidrolízis termékekre is vonatkoznak.;Il prodotto è instabile in acqua. Le informazioni sull'eliminazione si riferiscono anche ai prodotti di idrolisi.;Produktas yra nestabilus vandenyje. Informacija apie pašalinimą taip pat taikoma hidrolizės produktams.;Produkts ir nestabils ūdenī. Informācija par izvadīšanu attiecas arī uz hidrolīzes produktiem.;Il-prodott huwa instabbli fl-ilma. L-informazzjoni dwar l-eliminazzjoni tirreferi wkoll għall-prodotti tal-idroliżi.;Het product is onstabiel in water. De informatie over eliminatie verwijst ook naar de hydrolyseproducten.;Produkt jest niestabilny w wodzie. Informacje o eliminacji odnoszą się również do produktów hydrolizy.;O produto é instável na água. As informações sobre eliminação também se referem aos produtos de hidrólise.;Produsul este instabil în apă. Informațiile privind eliminarea se referă și la produsele de hidroliză.;Produkt je nestabilný vo vode. Informácie o eliminácii sa vzťahujú aj na produkty hydrolýzy.;Izdelek je nestabilen v vodi. Informacije o odstranitvi se nanašajo tudi na produkte hidrolize.;Produkten är instabil i vatten. Informationen om eliminering avser också hydrolysprodukterna.;Produktet er ustabilt i vann. Informasjonen om eliminering refererer også til hydrolyseproduktene.;Varan er óstöðug í vatni. Upplýsingarnar um brottnám vísa einnig til vatnsrofsvörunnar.
Inorganic product which is not eliminable from water through biological cleaning processes.;Неорганичен продукт, който не може да бъде елиминиран от водата чрез биологични почистващи процеси.;Anorganický produkt, který není eliminovatelný z vody biologickými čistícími procesy.;Uorganisk produkt, der ikke kan elimineres fra vand gennem biologiske renseprocesser.;Anorganisches Produkt, das durch biologische Reinigungsprozesse nicht aus Wasser eliminierbar ist.;Ανόργανο προϊόν που δεν μπορεί να απομακρυνθεί από το νερό μέσω βιολογικών διαδικασιών καθαρισμού.;Producto inorgánico que no es eliminable del agua mediante procesos de limpieza biológica.;Anorgaaniline toode, mida ei saa veest bioloogiliste puhastusprotsesside kaudu eemaldada.;Epäorgaaninen tuote, jota ei voida poistaa vedestä biologisten puhdistusprosessien avulla.;Produit inorganique qui n'est pas éliminable de l'eau par des procédés de nettoyage biologique.;Anorganski proizvod koji se ne može eliminirati iz vode biološkim procesima čišćenja.;Szervetlen termék, amely biológiai tisztítási folyamatokkal nem távolítható el a vízből.;Prodotto inorganico che non è eliminabile dall'acqua attraverso processi di pulizia biologica.;Neorganinis produktas, kurio negalima pašalinti iš vandens biologinio valymo procesais.;Neorganisks produkts, kuru nevar izvadīt no ūdens ar bioloģiskās attīrīšanas procesiem.;Prodott inorganiku li mhuwiex eliminabbli mill-ilma permezz ta' proċessi ta' tindif bijoloġiku.;Anorganisch product dat niet uit water kan worden verwijderd door biologische reinigingsprocessen.;Produkt nieorganiczny, który nie jest usuwalny z wody poprzez biologiczne procesy oczyszczania.;Produto inorgânico que não é eliminável da água através de processos de limpeza biológica.;Produs anorganic care nu este eliminabil din apă prin procese de curățare biologică.;Anorganický produkt, ktorý nie je odstrániteľný z vody biologickými čistiacimi procesmi.;Anorganski izdelek, ki ni odstranljiv iz vode z biološkimi čistilnimi procesi.;Oorganisk produkt som inte kan elimineras från vatten genom biologiska reningsprocesser.;Uorganisk produkt som ikke kan elimineres fra vann gjennom biologiske renseprosesser.;Ólífræn vara sem ekki er hægt að fjarlægja úr vatni með líffræðilegum hreinsunarferlum.
Evidence for inherent biodegradability.;Доказателства за присъща биоразградимост.;Důkazy o inherentní biodegradabilitě.;Bevis for iboende bionedbrydelighed.;Hinweise auf inhärente Abbaubarkeit.;Αποδείξεις για εγγενή βιοαποικοδομησιμότητα.;Evidencia de biodegradabilidad inherente.;Tõendid loomuliku biodegradeeruvuse kohta.;Näyttöä luontaisesta biohajoavuudesta.;Preuve de biodégradabilité inhérente.;Dokazi o inherentnoj biorazgradljivosti.;Bizonyíték a belső biodegradálhatóságra.;Prove di biodegradabilità intrinseca.;Įrodymai apie įgimtą biodegradabilumą.;Pierādījumi par iedzimtu biodegradabilitāti.;Evidenza għal bijodegradabilità inerenti.;Bewijs voor inherente biologische afbreekbaarheid.;Dowody na wrodzoną biodegradowalność.;Evidência de biodegradabilidade inerente.;Dovezi pentru biodegradabilitate inerentă.;Dôkazy o vnútornej biodegradovateľnosti.;Dokazi za inherentno biorazgradljivost.;Bevis för inneboende nedbrytbarhet.;Bevis for iboende biologisk nedbrytbarhet.;Sönnunargögn fyrir innbyggðu niðurbroti.
low test concentration.;ниска тестова концентрация.;nízká testovací koncentrace.;lav testkoncentration.;niedrige Testkonzentration.;χαμηλή συγκέντρωση δοκιμής.;baja concentración de prueba.;madal testkontsentratsioon.;alhainen testipitoisuus.;faible concentration d'essai.;niska ispitna koncentracija.;alacsony tesztkoncentráció.;bassa concentrazione di prova.;maža bandymo koncentracija.;zema testa koncentrācija.;konċentrazzjoni baxxa tat-test.;lage testconcentratie.;niskie stężenie testowe.;baixa concentração de teste.;concentrație de testare scăzută.;nízka testovacia koncentrácia.;nizka testna koncentracija.;låg testkoncentration.;lav testkonsentrasjon.;lág prófunarstyrkur.
changed concentration of activated sludge.;променена концентрация на активна утайка.;změněná koncentrace aktivovaného kalu.;ændret koncentration af aktivt slam.;veränderte Konzentration des belebten Schlamms.;αλλαγμένη συγκέντρωση ενεργοποιημένης ιλύος.;concentración cambiada de lodos activados.;muudetud aktiveeritud muda kontsentratsioon.;muuttunut aktiivilietteen pitoisuus.;concentration modifiée des boues activées.;promijenjena koncentracija aktivnog mulja.;megváltozott aktivált iszap koncentráció.;concentrazione modificata di fango attivato.;pakeista aktyvuoto dumblo koncentracija.;mainīta aktivētā dūņu koncentrācija.;konċentrazzjoni mibdula tal-ħama attivata.;veranderde concentratie van actief slib.;zmienione stężenie osadu czynnego.;concentração alterada de lodo ativado.;concentrație modificată a nămolului activat.;zmenená koncentrácia aktivovaného kalu.;spremenjena koncentracija aktivnega blata.;ändrad koncentration av aktivt slam.;endret konsentrasjon av aktivt slam.;breytt styrkur virks seyru.
Primary degradation.;Първично разграждане.;Primární degradace.;Primær nedbrydning.;Primärabbau.;Πρωτογενής αποικοδόμηση.;Degradación primaria.;Esmane lagunemine.;Ensisijainen hajoaminen.;Dégradation primaire.;Primarna razgradnja.;Elsődleges lebomlás.;Degradazione primaria.;Pirminė degradacija.;Primārā degradācija.;Degradazzjoni primarja.;Primaire afbraak.;Degradacja pierwotna.;Degradação primária.;Degradare primară.;Primárna degradácia.;Primarna razgradnja.;Primär nedbrytning.;Primær nedbrytning.;Frumniðurbrot.
The organic part of the product is biodegradable.;Органичната част на продукта е биоразградима.;Organická část produktu je biologicky rozložitelná.;Den organiske del af produktet er bionedbrydelig.;Der organische Teil des Produkts ist biologisch abbaubar.;Το οργανικό μέρος του προϊόντος είναι βιοαποικοδομήσιμο.;La parte orgánica del producto es biodegradable.;Toote orgaaniline osa on biodegradeeruv.;Tuotteen orgaaninen osa on biohajoava.;La partie organique du produit est biodégradable.;Organski dio proizvoda je biorazgradiv.;A termék szerves része biológiailag lebomló.;La parte organica del prodotto è biodegradabile.;Organinė produkto dalis yra biologiškai skaidoma.;Produkta organiskā daļa ir bioloģiski noārdāma.;Il-parti organika tal-prodott hija bijodegradabbli.;Het organische deel van het product is biologisch afbreekbaar.;Organiczna część produktu jest biodegradowalna.;A parte orgânica do produto é biodegradável.;Partea organică a produsului este biodegradabilă.;Organická časť produktu je biodegradovateľná.;Organski del izdelka je biorazgradljiv.;Den organiska delen av produkten är biologiskt nedbrytbar.;Den organiske delen av produktet er biologisk nedbrytbar.;Lífræni hluti vörunnar er lífbrjótanlegur.
The solvent is biodegradable.;Разтворителят е биоразградим.;Rozpouštědlo je biologicky rozložitelné.;Opløsningsmidlet er bionedbrydeligt.;Das Lösungsmittel ist biologisch abbaubar.;Ο διαλύτης είναι βιοαποικοδομήσιμος.;El disolvente es biodegradable.;Lahusti on biodegradeeruv.;Liotin on biohajoava.;Le solvant est biodégradable.;Otopina je biorazgradiva.;Az oldószer biológiailag lebomló.;Il solvente è biodegradabile.;Tirpiklis yra biologiškai skaidomas.;Šķīdinātājs ir bioloģiski noārdāms.;Is-solvent huwa bijodegradabbli.;Het oplosmiddel is biologisch afbreekbaar.;Rozpuszczalnik jest biodegradowalny.;O solvente é biodegradável.;Solventul este biodegradabil.;Rozpúšťadlo je biodegradovateľné.;Topilo je biorazgradljivo.;Lösningsmedlet är biologiskt nedbrytbart.;Løsemiddelet er biologisk nedbrytbart.;Leysirinn er lífbrjótanlegur.
The aquatic toxic ingredients are biodegradable.;Водните токсични съставки са биоразградими.;Vodní toxické složky jsou biologicky rozložitelné.;De akvatisk toksiske ingredienser er bionedbrydelige.;Die aquatisch toxischen Inhaltsstoffe sind biologisch abbaubar.;Τα τοξικά συστατικά για το υδάτινο περιβάλλον είναι βιοαποικοδομήσιμα.;Los ingredientes tóxicos acuáticos son biodegradables.;Vees toksilised koostisosad on biodegradeeruvad.;Vesistömyrkylliset ainesosat ovat biohajoavia.;Les ingrédients toxiques pour l'aquatique sont biodégradables.;Vodeni toksični sastojci su biorazgradivi.;A vízi toxikus összetevők biológiailag lebomlóak.;Gli ingredienti tossici per l'ambiente acquatico sono biodegradabili.;Vandenyje toksiški ingredientai yra biologiškai skaidomi.;Ūdens toksiskās sastāvdaļas ir bioloģiski noārdāmas.;L-ingredjenti tossiċi għall-ilma huma bijodegradabbli.;De aquatisch toxische ingrediënten zijn biologisch afbreekbaar.;Toksyczne składniki wodne są biodegradowalne.;Os ingredientes tóxicos aquáticos são biodegradáveis.;Ingredientele toxice acvatice sunt biodegradabile.;Vodné toxické zložky sú biodegradovateľné.;Vodotopne strupene sestavine so biorazgradljive.;De vattenlevande toxiska ingredienserna är biologiskt nedbrytbara.;De akvatisk toksiske ingrediensene er biologisk nedbrytbare.;Eitraðir innihaldsefni fyrir vatnalíf eru lífbrjótanlegir.
The single components are biodegradable.;Отделните компоненти са биоразградими.;Jednotlivé složky jsou biologicky rozložitelné.;De enkelte komponenter er bionedbrydelige.;Die einzelnen Komponenten sind biologisch abbaubar.;Τα μεμονωμένα συστατικά είναι βιοαποικοδομήσιμα.;Los componentes individuales son biodegradables.;Üksikud komponendid on biodegradeeruvad.;Yksittäiset komponentit ovat biohajoavia.;Les composants individuels sont biodégradables.;Pojedinačne komponente su biorazgradive.;Az egyes komponensek biológiailag lebomlóak.;I singoli componenti sono biodegradabili.;Atskiri komponentai yra biologiškai skaidomi.;Atsevišķas sastāvdaļas ir bioloģiski noārdāmas.;Il-komponenti individwali huma bijodegradabbli.;De afzonderlijke componenten zijn biologisch afbreekbaar.;Poszczególne składniki są biodegradowalne.;Os componentes individuais são biodegradáveis.;Componentele individuale sunt biodegradabile.;Jednotlivé zložky sú biodegradovateľné.;Posamezne komponente so biorazgradljive.;De enskilda komponenterna är biologiskt nedbrytbara.;De enkelte komponentene er biologisk nedbrytbare.;Einstakir íhlutir eru lífbrjótanlegir.
Part of the components is biodegradable.;Част от компонентите са биоразградими.;Část složek je biologicky rozložitelná.;En del af komponenterne er bionedbrydelige.;Ein Teil der Komponenten ist biologisch abbaubar.;Μέρος των συστατικών είναι βιοαποικοδομήσιμο.;Parte de los componentes es biodegradable.;Osa komponentidest on biodegradeeruvad.;Osa komponenteista on biohajoavia.;Une partie des composants est biodégradable.;Dio komponenti je biorazgradiv.;A komponensek egy része biológiailag lebomló.;Parte dei componenti è biodegradabile.;Dalis komponentų yra biologiškai skaidoma.;Daļa komponentu ir bioloģiski noārdāma.;Parti mill-komponenti hija bijodegradabbli.;Een deel van de componenten is biologisch afbreekbaar.;Część składników jest biodegradowalna.;Parte dos componentes é biodegradável.;O parte din componente este biodegradabilă.;Časť zložiek je biodegradovateľná.;Del komponent je biorazgradljiv.;En del av komponenterna är biologiskt nedbrytbara.;En del av komponentene er biologisk nedbrytbare.;Hluti íhlutanna er lífbrjótanlegur.
Abiotic degradation;Абиотично разграждане;Abiotická degradace;Abiotisk nedbrydning;Abiotischer Abbau;Αβιοτική αποικοδόμηση;Degradación abiótica;Abiootiline lagunemine;Abioottinen hajoaminen;Dégradation abiotique;Abiotička razgradnja;Abiotikus lebomlás;Degradazione abiotica;Abiotinė degradacija;Abiotiskā degradācija;Degradazzjoni abijotika;Abiotische afbraak;Degradacja abiotyczna;Degradação abiótica;Degradare abiotica;Abiotická degradácia;Abiotska razgradnja;Abiotisk nedbrytning;Abiotisk nedbrytning;Ólífrænt niðurbrot
Test type;Тип тест;Typ testu;Testtype;Testtyp;Τύπος δοκιμής;Tipo de prueba;Testi tüüp;Testityyppi;Type de test;Vrsta testa;Teszt típus;Tipo di test;Bandymo tipas;Testa veids;Tip ta' test;Testtype;Typ testu;Tipo de teste;Tip de test;Typ testu;Vrsta testa;Testtyp;Testtype;Prófunartegund
Ozonolysis;Озонолиза;Ozonolýza;Ozonolyse;Ozonolyse;Οζονόλυση;Ozonólisis;Osoonolüüs;Ozonolyysi;Ozonolyse;Ozonoliza;Ozonolízis;Ozonolisi;Ozonolizė;Ozonolīze;Ożonolisi;Ozonolyse;Ozonoliza;Ozonólise;Ozonoliză;Ozonolýza;Ozonoliza;Ozonolys;Ozonolyse;Ózónólýsa
Photolysis;Фотолиза;Fotolýza;Fotolyse;Photolyse;Φωτόλυση;Fotólisis;Fotolüüs;Fotolyysi;Photolyse;Fotoliza;Fotolízis;Fotolisi;Fotolizė;Fotolīze;Fotolisi;Fotolyse;Fotoliza;Fotólise;Fotoliză;Fotolýza;Fotoliza;Fotolys;Fotolyse;Ljósrof
Half-life time;Период на полуразпад;Poločas přeměny;Halveringstid (halveringstid for nedbrydning);Halbwertszeit;Χρόνος ημιζωής (χρόνος υποδιπλασιασμού);Periodo de semidesintegración;Pooleluumurdumisaeg;Puoliintumisaika (hajoamisen);Demi-vie (temps de demi-vie de dégradation);Poluživot (vrijeme poluraspada);Felezési idő (lebomlási);Emivita (tempo di dimezzamento);Pusėjimo trukmė (skilimo);Pusperioda (noārdīšanās) laiks;Ħin ta' nofs ħajja (tal-odegradazzjoni);Halfwaardetijd (afbraak);Okres półtrwania (rozpadu);Tempo de meia-vida (degradação);Timp de înjumătățire (degradare);Polčas premeny (rozkladu);Razpolovni čas (razgradnje);Halveringstid (nedbrytning);Halveringstid;Helmingunartími (niðurbrots)
OECD 111;OECD 111;OECD 111;OECD 111;OECD 111;OECD 111;OCDE 111;OECD 111;OECD 111;OCDE 111;OECD 111;OECD 111;OECD 111;OECD 111;OECD 111;OECD 111;OECD 111;OECD 111;OECD 111;OECD 111;OECD 111;OECD 111;OECD 111;OECD 111;OECD 111
OECD 309;OECD 309;OECD 309;OECD 309;OECD 309;OECD 309;OCDE 309;OECD 309;OECD 309;OCDE 309;OECD 309;OECD 309;OECD 309;OECD 309;OECD 309;OECD 309;OECD 309;OECD 309;OECD 309;OECD 309;OECD 309;OECD 309;OECD 309;OECD 309;OECD 309
OECD 307;OECD 307;OECD 307;OECD 307;OECD 307;ΟΟΣΑ 307;OCDE 307;OECD 307;OECD 307;OCDE 307;OECD 307;OECD 307;OECD 307;OECD 307;OECD 307;OECD 307;OECD 307;OECD 307;OECD 307;OECD 307;OECD 307;OECD 307;OECD 307;OECD 307;OECD 307
OECD 316;OECD 316;OECD 316;OECD 316;OECD 316;ΟΟΣΑ 316;OCDE 316;OECD 316;OECD 316;OCDE 316;OECD 316;OECD 316;OECD 316;OECD 316;OECD 316;OECD 316;OECD 316;OECD 316;OECD 316;OECD 316;OECD 316;OECD 316;OECD 316;OECD 316;OECD 316
OECD 101;OECD 101;OECD 101;OECD 101;OECD 101;ΟΟΣΑ 101;OCDE 101;OECD 101;OECD 101;OCDE 101;OECD 101;OECD 101;OECD 101;OECD 101;OECD 101;OECD 101;OECD 101;OECD 101;OECD 101;OECD 101;OECD 101;OECD 101;OECD 101;OECD 101;OECD 101
Mechanical separation in a suitable sewage plant is possible.;Възможно е механично разделяне в подходяща пречиствателна станция за отпадъчни води.;Mechanické oddělení ve vhodné čistírně odpadních vod je možné.;Mekanisk adskillelse i et egnet renseanlæg for spildevand er mulig.;Eine mechanische Abtrennung in einer geeigneten Abwasserbehandlungsanlage ist möglich.;Είναι δυνατός ο μηχανικός διαχωρισμός σε κατάλληλη εγκατάσταση επεξεργασίας λυμάτων.;La separación mecánica en una planta adecuada de tratamiento de aguas residuales es posible.;Mehaaniline eraldamine sobivas reoveepuhastusseadmes on võimalik.;Mekaaninen erotus sopivassa jätevedenpuhdistamossa on mahdollista.;Une séparation mécanique dans une station d'épuration des eaux usées appropriée est possible.;Mehaničko odvajanje u odgovarajućem postrojenju za obradu otpadnih voda je moguće.;Mechanikai szétválasztás megfelelő szennyvíztisztító üzemben lehetséges.;La separazione meccanica in un impianto adeguato di trattamento delle acque reflue è possibile.;Mechaninis atskyrimas tinkamoje nuotekų valymo įrenginyje yra galimas.;Mehāniska atdalīšana piemērotā notekūdeņu attīrīšanas iekārtā ir iespējama.;Is-separazzjoni mekkanika f'impjant tat-trattament tad-drenaġġ huwa possibbli.;Mechanische scheiding in een geschikte afvalwaterzuiveringsinstallatie is mogelijk.;Możliwe jest mechaniczne oddzielenie w odpowiedniej oczyszczalni ścieków.;A separação mecânica numa estação adequada de tratamento de águas residuais é possível.;Separarea mecanică într-o stație de epurare a apelor uzate adecvată este posibilă.;Mechanické oddelenie vo vhodnej čistiarni odpadových vôd je možné.;Mehanska ločitev v ustrezni napravi za čiščenje odpadnih voda je možna.;Mekanisk separation i ett lämpligt avloppsreningsverk är möjlig.;Mekanisk separasjon i et egnet avløpsrenseanlegg er mulig.;Mekanískur aðskilnaður í viðeigandi skólphreinsistöð er mögulegur.
The insoluble part can be precipitated mechanically in suitable sewage treatment plants.;Неразтворимата част може да бъде механично утаена в подходящи пречиствателни съоръжения за отпадъчни води.;Nerozpustná část může být mechanicky odstraněna vhodnými čistírnami odpadních vod.;Den uopløselige del kan mekanisk udfældes i egnede spildevandsrensningsanlæg.;Der unlösliche Anteil kann in geeigneten Abwasserbehandlungsanlagen mechanisch abgeschieden werden.;Το αδιάλυτο μέρος μπορεί να απομακρυνθεί μηχανικά σε κατάλληλες εγκαταστάσεις επεξεργασίας λυμάτων.;La parte insoluble puede separarse mecánicamente en plantas adecuadas de tratamiento de aguas residuales.;Lahustumatu osa saab mehaaniliselt eraldada sobivates reoveepuhastusjaamades.;Liuottamaton osa voidaan erottaa mekaanisesti sopivissa jätevedenpuhdistamoissa.;La partie insoluble peut être éliminée mécaniquement dans des stations d'épuration appropriées.;Netopivi dio može se mehanički odvojiti u odgovarajućim postrojenjima za obradu otpadnih voda.;Az oldhatatlan rész megfelelő szennyvíztisztító telepeken mechanikusan kicsapódhat.;La parte insolubile può essere separata meccanicamente in impianti adeguati di trattamento delle acque reflue.;Netirpi dalis gali būti mechaniškai pašalinta tinkamose nuotekų valymo įrenginiuose.;Nešķīstošo daļu var mehāniski atdalīt piemērotās notekūdeņu attīrīšanas iekārtās.;Il-parti insolubbli tista' tiġi separata mekkanikament f'impjanti ta' trattament tad-drenaġġ adattati.;Het onoplosbare deel kan mechanisch worden afgescheiden in geschikte afvalwaterzuiveringsinstallaties.;Nierozpuszczalna część może być mechanicznie oddzielona w odpowiednich oczyszczalniach ścieków.;A parte insolúvel pode ser separada mecanicamente em estações adequadas de tratamento de águas residuais.;Partea insolubilă poate fi îndepărtată mecanic în stații de epurare adecvate.;Nerozpustná časť môže byť mechanicky odstránená vhodnými čistiarňami odpadových vôd.;Netopni del je mogoče mehansko odstraniti v ustreznih čistilnih napravah.;Den olösliga delen kan avskiljas mekaniskt i lämpliga avloppsreningsverk.;Den uoppløselige delen kan skilles ut mekanisk i egnede avløpsrenseanlegg.;Óleysanlegi hlutinn getur verið aðskilinn mekanískt í viðeigandi skólphreinsistöðvum.
Due to its low solubility in water the product is almost completely mechanically separated in biological sewage plants.;Поради ниската си разтворимост във вода, продуктът се отделя почти напълно механично в биологични пречиствателни съоръжения.;Vzhledem k nízké rozpustnosti ve vodě je produkt téměř úplně mechanicky oddělen v biologických čistírnách odpadních vod.;På grund af sin lave opløselighed i vand separeres produktet næsten fuldstændigt mekanisk i biologiske renseanlæg.;Aufgrund seiner geringen Wasserlöslichkeit wird das Produkt in biologischen Kläranlagen nahezu vollständig mechanisch abgeschieden.;Λόγω της χαμηλής διαλυτότητάς του στο νερό, το προϊόν διαχωρίζεται σχεδόν πλήρως μηχανικά σε βιολογικές εγκαταστάσεις επεξεργασίας λυμάτων.;Debido a su baja solubilidad en agua, el producto se separa casi completamente de forma mecánica en plantas de tratamiento biológico de aguas residuales.;Madala vees lahustuvuse tõttu eraldatakse toode peaaegu täielikult mehaaniliselt bioloogilistes reoveepuhastusjaamades.;Alhaisen vesiliukoisuutensa vuoksi tuote erotetaan lähes täysin mekaanisesti biologisissa jätevedenpuhdistamoissa.;En raison de sa faible solubilité dans l'eau, le produit est presque entièrement séparé mécaniquement dans les stations d'épuration biologiques.;Zbog niske topljivosti u vodi, proizvod se gotovo u potpunosti mehanički odvaja u biološkim postrojenjima za obradu otpadnih voda.;Alacsony vízoldhatósága miatt a termék szinte teljesen mechanikusan válik ki a biológiai szennyvíztisztító telepeken.;A causa della sua bassa solubilità in acqua, il prodotto viene quasi completamente separato meccanicamente negli impianti di trattamento biologico delle acque reflue.;Dėl mažo tirpumo vandenyje produktas beveik visiškai mechaniškai atskiriamas biologinėse nuotekų valymo įrenginiuose.;Sakarā ar zemu šķīdību ūdenī, produkts gandrīz pilnībā tiek mehāniski atdalīts bioloģiskajās notekūdeņu attīrīšanas iekārtās.;Minħabba l-baxx soluzzjoni tiegħu fl-ilma, il-prodott jitqassam kważi kompletament b'mod mekkaniku f'impjanti bijoloġiċi ta' trattament tad-drenaġġ.;Vanwege de lage oplosbaarheid in water wordt het product bijna volledig mechanisch afgescheiden in biologische afvalwaterzuiveringsinstallaties.;Ze względu na niską rozpuszczalność w wodzie produkt jest prawie całkowicie mechanicznie oddzielany w biologicznych oczyszczalniach ścieków.;Devido à sua baixa solubilidade em água, o produto é quase completamente separado mecanicamente em estações de tratamento biológico de águas residuais.;Datorită solubilității reduse în apă, produsul este aproape complet separat mecanic în stațiile de epurare biologice.;Vzhľadom na nízku rozpustnosť vo vode je produkt takmer úplne mechanicky oddelený v biologických čistiarňach odpadových vôd.;Zaradi nizke topnosti v vodi se izdelek skoraj popolnoma mehansko loči v bioloških čistilnih napravah.;På grund av sin låga löslighet i vatten separeras produkten nästan helt mekaniskt i biologiska reningsverk.;På grunn av sin lave løselighet i vann skilles produktet nesten fullstendig mekanisk i biologiske renseanlegg.;Vegna lítillar leysni í vatni er varan næstum alveg aðskilin með mekanískum hætti í líffræðilegum skólphreinsistöðvum.
Elimination from water is possible through precipitation or flocculation.;Отстраняването от водата е възможно чрез утаяване или флокулация.;Odstranění z vody je možné srážením nebo flokulací.;Fjernelse fra vand er mulig gennem fældning eller flokkulering.;Die Entfernung aus Wasser ist durch Fällung oder Flockung möglich.;Η απομάκρυνση από το νερό είναι δυνατή μέσω καταβύθισης ή συσσωμάτωσης.;La eliminación del agua es posible mediante precipitación o floculación.;Eemaldamine veest on võimalik sadestamise või flokulatsiooni teel.;Poistaminen vedestä on mahdollista saostamalla tai flokkuloimalla.;L'élimination de l'eau est possible par précipitation ou floculation.;Uklanjanje iz vode moguće je taloženjem ili flokulacijom.;A vízből való eltávolítás kicsapással vagy flokkulációval lehetséges.;L'eliminazione dall'acqua è possibile tramite precipitazione o flocculazione.;Pašalinimas iš vandens galimas nusodinant arba flokuliuojant.;Izvadīšana no ūdens ir iespējama, izmantojot izgulsnēšanu vai flokulāciju.;L-eliminazzjoni mill-ilma hija possibbli permezz ta' preċipitazzjoni jew flokkulazzjoni.;Verwijdering uit water is mogelijk door precipitatie of vlokvorming.;Usuwanie z wody jest możliwe poprzez strącanie lub flokulację.;A remoção da água é possível através de precipitação ou floculação.;Eliminarea din apă este posibilă prin precipitare sau floculare.;Odstránenie z vody je možné zrážaním alebo flokuláciou.;Odstranitev iz vode je možna s pomočjo obarjanja ali flokulacije.;Avlägsnande från vatten är möjligt genom fällning eller flockning.;Fjerning fra vann er mulig gjennom utfelling eller flokkulering.;Útrýming úr vatni er möguleg með útfellingu eða flokkun.
